"","key_1","key_2","MachinesNumber","GrossRevenue","Revenue","Forecast","Plays"
"85","2 - video","Aries - Boundary",2.04421768707483,2077.87520408163,4247.6292437179,4102.56632653061,78726.5
"86","2 - video","Aries - Entrance",1.99671052631579,6238.10822368421,12455.6963545274,12551.0740131579,81039.315
"87","2 - video","Aries - Interior",2.00604229607251,11772.8060120846,23616.7468036984,23772.3444108761,91197.5
"88","2 - video","Aries - RestaurantPlaza",2.0801393728223,22520.2766550523,46845.3141570251,47223.0418118467,134137.5
"89","2 - video","Libra - Boundary",1.26086956521739,6496.96956521739,8191.83119092628,8237.66956521739,118746.5
"90","2 - video","Libra - Entrance",1.34782608695652,2302.31152173913,3103.11552930057,3612.85326086957,97312.5
"91","2 - video","Libra - Interior",1.1,24112.1698461538,26523.3868307692,25314.3615384615,154708.5
"92","2 - video","Libra - RestaurantPlaza",1.29565217391304,11491.7615652174,14889.3258540643,15116.2304347826,117949
"93","2 - vpoker","Aries - Boundary",6,2028.615,12171.69,18944,53658.81
"94","2 - vpoker","Aries - Entrance",7.8,7632.55,59533.89,53367,71908.5
"95","2 - vpoker","Aries - Interior",11.25,14908.2675,167718.009375,170558.875,128517.56
"96","2 - vpoker","Aries - RestaurantPlaza",3.66666666666667,4104.05666666667,15048.2077777778,13050.3333333333,37428.33
"97","2 - vpoker","Libra - Entrance",4,5468.5,21874,20822,186334.75
"98","2 - vpoker","Libra - RestaurantPlaza",4,14626.25,58505,61434.25,168196.25
